id,clasificacion_cliente
37146,segmento_1
37147,segmento_1
37148,segmento_2
37149,segmento_2
37150,segmento_2
37151,segmento_1
37152,segmento_2
37153,segmento_1
37154,segmento_1
37155,segmento_1
37156,segmento_1
37157,segmento_1
37158,segmento_2
37159,segmento_1
37160,segmento_1
37161,segmento_1
37162,segmento_3
37163,segmento_2
37164,segmento_3
37165,segmento_2
37166,segmento_1
37167,segmento_1
37168,segmento_1
37169,segmento_2
37170,segmento_1
37171,segmento_1
37172,segmento_1
37173,segmento_1
37174,segmento_1
37175,segmento_3
37176,segmento_2
37177,segmento_1
37178,segmento_1
37179,segmento_1
37180,segmento_1
37181,segmento_1
37182,segmento_2
37183,segmento_1
37184,segmento_2
37185,segmento_1
37186,segmento_2
37187,segmento_1
37188,segmento_2
37189,segmento_1
37190,segmento_1
37191,segmento_1
37192,segmento_1
37193,segmento_1
37194,segmento_1
37195,segmento_1
37196,segmento_1
37197,segmento_1
37198,segmento_2
37199,segmento_2
37200,segmento_1
37201,segmento_1
37202,segmento_1
37203,segmento_1
37204,segmento_1
37205,segmento_1
37206,segmento_1
37207,segmento_1
37208,segmento_1
37209,segmento_1
37210,segmento_2
27016,segmento_2
37211,segmento_1
37212,segmento_1
37213,segmento_1
37214,segmento_2
22336,segmento_1
37215,segmento_1
37216,segmento_2
37217,segmento_2
37218,segmento_1
37219,segmento_2
37220,segmento_1
37221,segmento_2
37222,segmento_1
37223,segmento_2
37224,segmento_1
37225,segmento_1
37226,segmento_2
37227,segmento_1
37228,segmento_1
37229,segmento_2
37230,segmento_2
37231,segmento_1
32267,segmento_2
37232,segmento_1
37233,segmento_1
37234,segmento_1
37235,segmento_1
37236,segmento_2
37237,segmento_1
13249,segmento_2
37238,segmento_1
37239,segmento_2
37240,segmento_1
37241,segmento_2
37242,segmento_1
37243,segmento_1
23051,segmento_2
37244,segmento_1
37245,segmento_1
37246,segmento_1
37247,segmento_1
37248,segmento_2
37249,segmento_2
37250,segmento_2
37251,segmento_1
37252,segmento_1
13275,segmento_1
37253,segmento_2
37254,segmento_2
37255,segmento_1
37256,segmento_1
37257,segmento_1
37258,segmento_2
37259,segmento_1
37260,segmento_1
27719,segmento_1
37261,segmento_1
37262,segmento_1
37263,segmento_1
37264,segmento_1
37265,segmento_2
37266,segmento_1
37267,segmento_2
37268,segmento_1
37269,segmento_2
37270,segmento_1
37271,segmento_2
37272,segmento_1
37273,segmento_2
37274,segmento_1
37275,segmento_3
37276,segmento_2
37277,segmento_1
37278,segmento_1
37279,segmento_1
37280,segmento_1
37281,segmento_1
36479,segmento_1
37282,segmento_2
32553,segmento_2
37283,segmento_1
37284,segmento_1
37285,segmento_1
8662,segmento_1
36508,segmento_2
37286,segmento_1
37287,segmento_1
37288,segmento_1
37289,segmento_1
37290,segmento_1
37291,segmento_1
37292,segmento_3
37293,segmento_2
37294,segmento_1
37295,segmento_2
37296,segmento_2
37297,segmento_1
37298,segmento_1
37299,segmento_1
37300,segmento_1
37301,segmento_1
37302,segmento_1
37303,segmento_2
37304,segmento_2
37305,segmento_1
37306,segmento_2
37307,segmento_1
37308,segmento_1
37309,segmento_2
22517,segmento_1
37310,segmento_2
37311,segmento_1
37312,segmento_2
37313,segmento_1
37314,segmento_1
37315,segmento_2
37316,segmento_1
37317,segmento_1
37318,segmento_1
37319,segmento_2
37320,segmento_2
37321,segmento_1
37322,segmento_1
37323,segmento_1
37324,segmento_2
37325,segmento_2
37326,segmento_1
37327,segmento_2
37328,segmento_1
37329,segmento_1
37330,segmento_1
37331,segmento_2
37332,segmento_1
37333,segmento_1
37334,segmento_1
37335,segmento_1
37336,segmento_1
37337,segmento_1
37338,segmento_2
37339,segmento_2
37340,segmento_3
37341,segmento_2
37342,segmento_1
37343,segmento_2
37344,segmento_1
